"Datetime","probe","T","Err"
"2017-12-13 17:13:52","1","-7.7","0.46"
"2017-12-13 17:13:53","2","-7.8","0.4"
"2017-12-13 17:13:54","3","-7.9","0.54"
"2017-12-13 17:13:55","4","-7.9","0.54"
"2017-12-13 17:13:56","5","-7.9","0.54"
"2017-12-13 17:15:10","1","-8.0","0.45"
"2017-12-13 17:15:11","2","-7.6","0.49"
"2017-12-13 17:15:12","3","-7.8","0.4"
"2017-12-13 17:15:13","4","-7.9","0.54"
"2017-12-13 17:15:14","5","-7.8","0.4"
"2017-12-13 17:16:28","1","-7.8","0.4"
"2017-12-13 17:16:29","2","-8.0","0.45"
"2017-12-13 17:16:30","3","-8.0","0.45"
"2017-12-13 17:16:31","4","-7.9","0.54"
"2017-12-13 17:16:32","5","-7.7","0.46"
"2017-12-13 17:17:47","1","-7.9","0.3"
"2017-12-13 17:17:48","2","-7.7","0.46"
"2017-12-13 17:17:49","3","-7.9","0.54"
"2017-12-13 17:17:50","4","-8.0","0.45"
"2017-12-13 17:17:51","5","-7.8","0.4"
"2017-12-13 17:19:05","1","-7.9","0.54"
"2017-12-13 17:19:06","2","-8.0","0.45"
"2017-12-13 17:19:07","3","-7.8","0.4"
"2017-12-13 17:19:08","4","-8.0","0.63"
"2017-12-13 17:19:09","5","-8.0","0.0"
"2017-12-13 17:20:23","1","-8.1","0.3"
"2017-12-13 17:20:24","2","-7.8","0.4"
"2017-12-13 17:20:25","3","-7.9","0.3"
"2017-12-13 17:20:26","4","-8.0","0.77"
"2017-12-13 17:20:27","5","-8.1","0.7"
"2017-12-13 17:21:42","1","-7.9","0.3"
"2017-12-13 17:21:43","2","-8.0","0.63"
"2017-12-13 17:21:44","3","-7.9","0.3"
"2017-12-13 17:21:45","4","-8.3","0.64"
"2017-12-13 17:21:46","5","-7.8","0.4"
"2017-12-13 17:23:00","1","-7.7","0.46"
"2017-12-13 17:23:01","2","-7.7","0.46"
"2017-12-13 17:23:02","3","-8.0","0.77"
"2017-12-13 17:23:03","4","-8.0","0.45"
"2017-12-13 17:23:04","5","-7.9","0.3"
"2017-12-13 17:24:18","1","-7.9","0.3"
"2017-12-13 17:24:19","2","-8.0","0.63"
